Betrieb Name;Betrieb Kürzel
A. Reich GmbH Busbetrieb;Reich
Abellio Rail Mitteldeutschland GmbH;HBX
ABELLIO Rail Mitteldeutschland GmbH;Abellio
Barnimer Busgesellschaft mbH;BBG
Bayerische Oberlandbahn GmbH;BOB
Berliner Verkehrsbetriebe;BVG
Berlkönig BC;BERLBC
BEX - Bayern Express & P. Kühn Berlin GmbH;BEX
Buckower Kleinbahn;BUK
Busverkehr Gerd Schmidt;SCH
Busverkehr Oder-Spree GmbH;BOS
Ceske Drahy;CD
Cottbusverkehr GmbH;CV
DB Fernverkehr AG;DB
DB Regio AG;DB Regio
DB Regio Bus Ost GmbH;DRO
FlixTrain;FLX1
FlixTrain GmbH;FLX
Fritz Behrendt OHG;Behrendt
Glaser;GLAn
Günter Anger Güterverkehrs GmbH & Co. Omnibusvermietung KG;Anger
Hanseatische Eisenbahn;HANS
Havelbus Verkehrsgesellschaft mbH;HAVELBUS
Lange;LANGE
Lausitzer Dampflok Club e.V.;LDC
Mitteldeutsche Regiobahn;RB
mobus Märkisch-Oderland Bus GmbH;mobus
Nahverkehrsgesellschaft Jerichower Land mbH;NJL
NASA Gmbh;NASA
NEB Betriebsgesellschaft mbH;NEB
Oberhavel Verkehrsgesellschaft mbH;OVG
ODEG Ostdeutsche Eisenbahn GmbH;ODEG
ORP Ostprignitz-Ruppiner Personennahverkehrsgesellschaft mbH;ORPN
Personenverkehrsgesellschaft Altmarkkreis Salzwedel mbH;PVGS
PKP Intercity;PKP
Polregio;PR
Pressnitztalbahn;PRE
Pressnitztalbahn1;PRE1
prignitzbus;PRG
prignitzbus-HstBr;PRGHstBr
regiobus Potsdam Mittelmark GmbH;regiobus
Regionale Verkehrsgesellschaft Dahme-Spreewald mbH;RVS
Sabinchen Touristik GmbH;STG
S-Bahn Berlin GmbH;DBS
SBB;SBB
Schöneicher Rüdersdorfer Straßenbahn GmbH;SRS
Stadtverkehrsgesellschaft mbH Frankfurt (Oder);SVF
stendalbus;SDL
Strausberger Eisenbahn GmbH;STE
Uckermärkische Verkehrsgesellschaft mbH;UVG
Verkehrsbetrieb Potsdam GmbH;ViP
Verkehrsbetriebe Brandenburg an der Havel GmbH;VBBr
Verkehrsgemeinschaft Westmecklenburg;VWM
Verkehrsgesellschaft Oberspreewald-Lausitz mbH;VGOSL
Verkehrsgesellschaft Teltow-Fläming mbH;VTF
Verkehrsmanagement Elbe-Elster GmbH;VMEE
Verkehrsverbund Berlin-Brandenburg mbH;VBB
Wetzel;WEZn
